atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	h_min	h_max	ligand_atom_type	SMARTS	SMARTS_index	interaction_types
N_pi_don_pos	434	1.0	0.6415150777017176	1.5588098156361114	0.0	5.147670824429693	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
N_pi_don_pos	434	0.0	1.3915299228625333	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
N_pi_don_pos	434	0.0	0.3816615644620602	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	2.270600894330106	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	2.5664833443622013	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	1.0	2.053450553941776	0.4869851860228207	0.0	1.5761091322114813	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	2.07520895489557	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	2.150026764556784	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	1.0	2.362632635936692	0.4232566607222621	0.0	1.383304094294091	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	3.233318810009388	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346	0.0	0.6259974484348556	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_mix	420	0.0	0.5633511691381741	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	0.0	0.3409425320925484	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	0.0	0.1110173868921555	0.0	0.0		0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	0.0	0.1751306061327331	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	2.0	1.265091569293908	1.5809132307444511	0.0	3.532145499577992	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	8.0	1.1062343418216332	7.231740778202945	3.4495999096147085	10.803505062760754	+	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	6.0	1.5439679793692238	3.886090955365055	1.3951425994680275	6.855330312539894	+	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
O_pi_mix	420	0.0	0.2214745545627968	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation
N_pi_arom_don	442	0.0	0.3450590431187345	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_arom_don	442	0.0	0.0821875351268282	0.0	0.0		0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_arom_don	442	0.0	0.2833054167728675	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_arom_don	442	0.0	0.2095603186457923	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_don	442	0.0	0.1993479208629519	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_don	442	0.0	0.0565819054111534	0.0	0.0		0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_don	442	2.0	1.0342860702450358	1.9337009919568715	0.0	4.23485633028877	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_don	442	0.0	0.4931595506693766	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_phenyl	303	1.0	2.1237807836999925	0.4708583897523677	0.0	1.5605983232448448	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	5.0	1.6993223795170656	2.942349291851828	0.5988800777104745	5.976124091105749	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	4.0	2.6837369423021658	1.4904590449795412	0.0	3.514409775342078	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	5.0	4.408664781983295	1.1341302292778734	0.3174817100570348	1.962562483301084	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	4.0	5.580901033465409	0.7167301437553422	0.1537378437886808	1.4360451025481362	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	19.0	10.40972698980774	1.825215975270348	0.958759436786852	2.7084283066448447	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	31.0	28.49448014083321	1.087930007734246	0.6102467406869726	1.5477107798946823	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303	30.0	19.70085870816054	1.5227762629236727	0.7708130588823607	2.439852989333521	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
N_pi_amide_don	265	0.0	7.764151424512002	0.0	0.0	0.0	-	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_amide_don	265	1.0	4.044825088524997	0.2472294791774702	0.0	0.814299116791268	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_amide_don	265	2.0	2.3920963393022063	0.8360867274197727	0.0	2.050941580002872	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_amide_don	265	2.0	1.6719265870534166	1.1962247717615258	0.0	2.9174266485137794	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_amide_don	265	8.0	3.2444459605218814	2.4657522724506005	0.9951158790120824	4.434475520741544	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_amide_don	265	10.0	4.40987416685708	2.2676384000151653	1.0039131610883445	3.698014439759022	+	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_amide_don	265	8.0	7.746230182997136	1.0327604281060334	0.4094112984187363	1.7289037747935738	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_amide_don	265	1.0	4.769855429574626	0.2096499599966239	0.0	0.7207704801233408	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_pos	449	0.0	0.0				?	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_pos	449	0.0	0.0				?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_pos	449	0.0	0.0				?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_pos	449	0.0	0.0				?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_pos	449	0.0	0.0				?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_pos	449	0.0	0.0421540562013056	0.0	0.0		0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_pos	449	0.0	0.6175531682659913	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_pos	449	0.0	0.2042632264098614	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.0512761820208315	0.0	0.0		0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.0573786716735243	0.0	0.0		0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.1940980077084172	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.0612040311016611	0.0	0.0		0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.4523462637107648	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	0.8300692757270371	0.0	0.0	0.0	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	0.0	3.472574143541264	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
C_pi_neg	401	2.0	1.7906913505845312	1.116887061160565	0.0	3.1159660691772486	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc	267	13.0	9.477724113388538	1.3716373091759215	0.7381722908823015	1.994722913260182	0	0	180	0.0	0.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc	267	21.0	9.143514237743204	2.296709936023811	1.5124889941883233	3.0487289275482468	+	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc	267	12.0	8.042724687135772	1.4920316766771633	0.7884661062048305	2.294078876704578	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc	267	5.0	6.75175089355241	0.7405486486142067	0.1627503958953941	1.4271292004718912	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
O_pi_acc	267	4.0	7.88244677944221	0.5074566453695808	0.1245984337655486	0.9934212577614376	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
O_pi_acc	267	1.0	8.377621444427595	0.1193656226452143	0.0	0.3855434408194139	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
O_pi_acc	267	5.0	9.768660671187911	0.5118408928613115	0.1021691866610298	0.9627129125216912	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
O_pi_acc	267	2.0	2.69172983780668	0.7430166177559904	0.0	1.830595883956982	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_carbonyl	826	0.0	0.1297039662886701	0.0	0.0		0	0	180	0.0	0.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;pi
C_pi_carbonyl	826	0.0	0.0766863859845699	0.0	0.0		0	0	180	0.5	1.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;pi
C_pi_carbonyl	826	0.0	0.0				?	0	180	1.0	1.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
C_pi_carbonyl	826	3.0	0.426065801150456	7.0411659229617785	0.0	15.334824952767285	0	0	180	1.5	2.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	multipolar;desolvation;hydrophobic;pi
C_pi_carbonyl	826	9.0	2.401133255266145	3.748230124363684	2.1047851607573405	5.36070481057971	+	0	180	2.0	2.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	multipolar;desolvation;hydrophobic;pi
C_pi_carbonyl	826	10.0	11.702191889775207	0.8545407641740606	0.4090113923979837	1.4497691562095043	0	0	180	2.5	3.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	multipolar;desolvation;hydrophobic;pi
C_pi_carbonyl	826	36.0	64.81599082471914	0.5554184938305461	0.3818328487989408	0.7476156745356373	-	0	180	3.0	3.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	multipolar;desolvation;hydrophobic;pi
C_pi_carbonyl	826	15.0	40.6005515990417	0.3694531086211658	0.1936960787596151	0.5394283337048579	-	0	180	3.5	4.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	multipolar;desolvation;hydrophobic;pi
N_pi	1279	0.0	0.0				?	0	180	0.0	0.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	0.0	0.0				?	0	180	0.5	1.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	0.0	0.0				?	0	180	1.0	1.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	0.0	0.0				?	0	180	1.5	2.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	0.0	0.0				?	0	180	2.0	2.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	0.0	0.0				?	0	180	2.5	3.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	
N_pi	1279	1.0	0.6484522770698286	1.5421335314276567	0.0	3.6654396737392654	0	0	180	3.0	3.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi	1279	0.0	0.2574502980640137	0.0	0.0	0.0	-	0	180	3.5	4.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_arom_acc	1257	0.0	1.1213937827756135	0.0	0.0	0.0	-	0	180	0.0	0.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;desolvation;pi
N_pi_arom_acc	1257	0.0	0.1904780314681112	0.0	0.0		0	0	180	0.5	1.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;desolvation;pi
N_pi_arom_acc	1257	0.0	0.7137849350805698	0.0	0.0	0.0	-	0	180	1.0	1.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;desolvation;pi
N_pi_arom_acc	1257	0.0	0.2065029781410792	0.0	0.0	0.0	-	0	180	1.5	2.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_arom_acc	1257	0.0	0.4230662847530145	0.0	0.0	0.0	-	0	180	2.0	2.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_arom_acc	1257	0.0	0.5019549010281271	0.0	0.0	0.0	-	0	180	2.5	3.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_arom_acc	1257	4.0	3.360038570910185	1.1904625246359772	0.0	2.3606720816264994	0	0	180	3.0	3.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_arom_acc	1257	1.0	2.1456726190061515	0.4660543230789734	0.0	1.3554263028729607	0	0	180	3.5	4.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	electrostatic_repulsion;hydrophobic;desolvation;pi
C_pi_don	1117	2.0	3.2749580353220944	0.6106948481259848	0.0	1.691315416248138	0	0	180	0.0	0.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;hbond_weak;pi
C_pi_don	1117	0.0	1.7822939639942226	0.0	0.0	0.0	-	0	180	0.5	1.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;hbond_weak;pi
C_pi_don	1117	3.0	2.813806888614609	1.0661712472660354	0.0	2.113841768245921	0	0	180	1.0	1.5	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;hbond_weak;pi
C_pi_don	1117	1.0	3.4489297033458044	0.2899450223731439	0.0	0.8955559653839483	-	0	180	1.5	2.0	nitrogen_pyrimidine	[cd2]1[nd2]cccn1	1	desolvation;hydrophobic;pi
