atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	RDKit_SMARTS	RDKit_SMARTS_index	ligand_atom_type	SMARTS	SMARTS_index	interaction_types
N_pi_arom_acc	455.0	0.0	0.245473898686816	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455.0	0.0	0.4588609496551958	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455.0	0.0	0.3047941040506204	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455.0	0.0	0.1489600806601421	0.0	0.0		0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455.0	0.0	0.0859689239043522	0.0	0.0		0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
N_pi_arom_acc	455.0	0.0	0.012672822190692	0.0	0.0		0	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;pi
C_pi_don	430.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_don	430.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_don	430.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_don	430.0	0.0	1.7158443785845787	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430.0	2.0	3.36723919192209	0.5939583991532121	0.0	1.4647513761301052	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430.0	1.0	1.6792157808939538	0.5955160804096518	0.0	2.0335725287059496	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430.0	0.0	1.2154933441761016	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430.0	1.0	1.0634837922389822	0.940305820641302	0.0	2.3519957204664173	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
C_pi_don	430.0	0.0	0.2622427797287704	0.0	0.0	0.0	-	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;hbond_weak;pi
N_don_pos	398.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_don_pos	398.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_don_pos	398.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_don_pos	398.0	0.0	0.6991712895777291	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_don_pos	398.0	0.0	2.526528220786821	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_don_pos	398.0	0.0	2.607947687257851	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_don_pos	398.0	0.0	0.6916038203762237	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_don_pos	398.0	0.0	0.3640675544107625	0.0	0.0	0.0	-	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_don_pos	398.0	0.0	0.2034012975705145	0.0	0.0	0.0	-	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_pi_don_pos	434.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_don_pos	434.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_don_pos	434.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_don_pos	434.0	0.0	0.3540474861874492	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434.0	0.0	1.445257913311212	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434.0	1.0	1.6466892516239553	0.6072791202188305	0.0	2.09806960563476	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434.0	0.0	0.9854220793778106	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434.0	1.0	0.2854008751041958	3.503843496047145	0.0	15.532367081784145	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
N_pi_don_pos	434.0	0.0	0.1261587158507755	0.0	0.0	0.0	-	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak;pi
O_pi_acc_neg	346.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_acc_neg	346.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_acc_neg	346.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_acc_neg	346.0	0.0	0.3532696201329052	0.0	0.0		0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346.0	0.0	4.971052647009649	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346.0	0.0	5.052413619914518	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346.0	1.0	3.535009449568862	0.2828846752084247	0.0	0.8988194412944771	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346.0	1.0	2.870557200593375	0.3483644219990771	0.0	1.2304549247556986	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_acc_neg	346.0	0.0	0.555416869248063	0.0	0.0	0.0	-	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;pi
O_pi_mix	420.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_mix	420.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_mix	420.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
O_pi_mix	420.0	2.0	0.263403149973233	7.592923623742692	0.0	23.78454706344984	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_pi_mix	420.0	13.0	2.2119670334651897	5.877121947714861	3.3146809345797466	8.85377173293665	+	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_pi_mix	420.0	0.0	1.0417231123675277	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_pi_mix	420.0	1.0	1.372659979749867	0.7285125338776358	0.0	2.369768962119542	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_pi_mix	420.0	0.0	0.3502707890608076	0.0	0.0	0.0	-	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
O_pi_mix	420.0	0.0	0.0871860746865473	0.0	0.0		0	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hbond_weak
N_pi_arom_don	442.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_don	442.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_don	442.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
N_pi_arom_don	442.0	0.0	0.9458664857793632	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	442.0	1.0	1.5016353206924054	0.6659406489845345	0.0	2.359319417961992	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	442.0	2.0	1.4685031708327017	1.3619310054781275	0.0	3.6263123243876207	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	442.0	0.0	0.4285319826135761	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	442.0	0.0	0.6262846406586721	0.0	0.0	0.0	-	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	442.0	0.0	0.0867159977136012	0.0	0.0		0	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	desolvation;hydrophobic;hbond_weak;pi
C_ali_apol	259.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_ali_apol	259.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_ali_apol	259.0	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_ali_apol	259.0	21.0	13.52116885439017	1.5531201648429631	0.7732400192668922	2.2547543780784616	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_ali_apol	259.0	27.0	30.20912557209908	0.893769663592547	0.5896127763360074	1.2305411645469155	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_ali_apol	259.0	31.0	43.84233396296891	0.7070791446957161	0.4750343209902206	0.9474030941963086	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_ali_apol	259.0	56.0	38.10510697943516	1.469619283058895	1.1256219165237855	1.8009171707612488	+	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_ali_apol	259.0	34.0	25.163549914880903	1.3511607112275326	0.9915153280572868	1.7736358939616117	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_ali_apol	259.0	22.0	8.753905309212364	2.513164036267084	1.5392857423839672	3.371932764829889	+	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic
C_pi_phenyl	303.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_phenyl	303.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_pi_phenyl	303.0	0.0	0.2632989517252322	0.0	0.0	0.0	-	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	42.0	33.24120712234666	1.2634920219779016	0.7884508192682337	1.7708037435063035	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	68.0	49.770032784508366	1.3662840105897212	0.98560345140368	1.7910135734003916	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	42.0	34.40176183396266	1.2208677044713474	0.8483255253703427	1.6474131243300725	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	31.0	18.19957629521436	1.7033363577893603	1.1142948039637122	2.2650340984491617	+	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	7.0	6.230455354387338	1.1235133873595238	0.3091454755122405	2.171700159639016	0	20	40	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_pi_phenyl	303.0	1.0	0.807149973465078	1.2389271298703275	0.0	3.628212062291675	0	0	20	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hydrophobic;pi
C_ali_don	271.0	0.0	0.0				?	160	180	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_ali_don	271.0	0.0	0.0				?	140	160	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	
C_ali_don	271.0	0.0	0.2955051557255054	0.0	0.0	0.0	-	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hbond_weak;hydrophobic
C_ali_don	271.0	9.0	20.91938680359841	0.4302229355237067	0.1753540794725226	0.7378816379953147	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hbond_weak;hydrophobic
C_ali_don	271.0	41.0	37.16580699331165	1.1031645298964812	0.8162479738551692	1.4171773770585965	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	c1[nd2H0]c[cd2]c[nd2H0]1	3	hbond_weak;hydrophobic
