atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	RDKit_SMARTS	RDKit_SMARTS_index	ligand_atom_type	interaction_types
C_pi_carbonyl	263	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_phenyl	229	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_don	55	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_neg	151	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_pi_pos	21	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_ali_mix	99	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_mix	76	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc	264	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
O_pi_acc_neg	169	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_don_pos	93	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_don_pos	44	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi	7	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_amide_don	261	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_don	47	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
N_pi_arom_acc	18	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_mix	42	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
S_apol	128	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
Water	237	0.0	0.0				?	120	140	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
other_ligand	41	7.0	5.329699387678737	1.313394901067532			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.2810468451596437	0.0			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	76.0	54.82511474756519	1.3862260088270075	1.1534182713769512	1.6261730801864491	+	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	65.0	36.88624114892548	1.7621746747674096	1.3990149854091534	2.127311010216936	+	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	24.0	18.29958161545416	1.3115053941851753	0.87461277873564	1.8072644036941945	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	2.0	6.374969275893724	0.3137270021932168	0.0	0.8166821607394222	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	35.0	22.78594325406727	1.5360347214834975	1.051305264426518	2.035241602095513	+	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	1.0	2.653489100872293	0.3768622978972348	0.0	1.1949174064911188	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	2.26384485443884	0.4417263833425896	0.0	1.481064288787294	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.2495757024890876	0.0			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	2.0	3.1981623865664472	0.6253591150970929	0.0	1.6021473967624749	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	1.0	1.9181426340919183	0.5213376639602284	0.0	1.7492293099949807	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	10.0	29.09103166642329	0.3437485516040308	0.1513359871848024	0.5632052784743168	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	7.343857467861291	0.0	0.0	0.0	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	1.0	2.8878013643266507	0.3462842051233569	0.0	1.107812289149327	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	2.235568753849575	0.4473134625262736			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0450187903187509	0.0			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	2.0	13.705938139958937	0.1459221528345518	0.0	0.3794621316601602	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	3.0	1.13949520305569	2.632744738156992			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.3766153559286064	0.0			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	1.0	1.2082043441190102	0.8276745609031665			?	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	5.0	4.1169278044334	1.2144978579939258	0.2841507257166462	2.558392986513587	0	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	14.0	33.78373015652204	0.4144006578059073	0.2439750643629461	0.6279569804118368	-	100	120	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	8.0	9.744247254094397	0.8209972295847187			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	1.0	0.7605631878950468	1.3148151474009997			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	139.0	104.854728837065	1.3256435979725218	1.1311269036188023	1.535548894014252	+	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	67.0	69.65359820231352	0.9619029271882558	0.7395826960789791	1.1674315532933883	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	51.0	37.19981475324883	1.37097456904798	1.0759737293934843	1.661377181407145	+	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	8.0	11.95596496410715	0.669122067856229	0.2515144817994477	1.1346641133008737	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	70.0	45.07965581246596	1.5528068867962117	1.1988756592666316	1.8796867101082155	+	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	1.0	4.003022346325524	0.2498112459746635	0.0	0.7945197837493025	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	4.293092787960541	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	1.0	0.3062524465628568	3.265280036855984			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	4.0	8.047542276078698	0.4970461617691641	0.1259825603193599	1.0556456797476732	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	10.0	4.295404138279752	2.328069647948157	1.0623205301483314	3.692587628784581	+	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	54.0	57.78974125760603	0.9344219030032904	0.7561527554440011	1.1300612458954815	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	2.0	14.539839861594007	0.1375530968042408	0.0	0.3630904989811914	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	5.292782387612692	0.0	0.0	0.0	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	2.0	3.396225144838444	0.5888891091450706			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	1.0	0.0569472022451407	17.5601251786751			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	27.0	27.28168790928421	0.9896748357278748	0.6593212870666613	1.291502684969569	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	2.0	1.66001587934785	1.2048077520714533			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.5611075981743789	0.0			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	2.0	3.340142137330926	0.5987769136070897			?	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	10.0	9.053247803944888	1.104575972795373	0.5095801562527306	1.793670495754987	0	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	32.0	68.8343758116243	0.4648840005112104	0.3266667093061121	0.6247218218382794	-	80	100	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	6.0	8.159558964521585	0.7353338613138872			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.6128155122624973	0.0			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	60.0	57.81068156283982	1.0378704830660128	0.819537101846223	1.2574062523551763	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	46.0	39.06677245116176	1.1774712143806	0.8868777707831963	1.5180108792155786	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	17.0	19.4173914889121	0.8755037982165369	0.5267530945163651	1.332114812147609	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	3.0	7.258701242597591	0.4132970761207997	0.0	0.9941516260753116	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	36.0	22.93458052925106	1.569682076987854	0.9748139984451482	2.212648381175372	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	1.0	2.1264265489112	0.4702725332845532	0.0	1.4143247759103406	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	2.3526521802482514	0.4250522063548213	0.0	1.4735891817271116	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.1303286356040129	0.0			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	3.0	3.586258231426651	0.8365264870529328	0.0	1.8653479305125609	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	12.0	2.129830197920371	5.634251975447223	2.9639443949139634	8.164403368358743	+	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	9.0	31.246447625308587	0.2880327424071816	0.1174465930075031	0.4784131858773376	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	1.0	7.97840763572138	0.1253382937621215	0.0	0.409976315991291	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	2.6068570497079064	0.0	0.0	0.0	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	1.70300583683369	0.5871970479321714			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	1.0	0.0464305508000173	21.53754333665209			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	22.0	15.171518803622774	1.4500855375630992	0.8721991192335076	2.1118386083048293	0	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	1.0	1.0746578679613612	0.9305287104043743			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.3937143046552321	0.0			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	1.0	1.333272755452963	0.7500340766059247			?	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	24.0	5.493815076734581	4.368548934534786	2.719953599706658	6.306024499057957	+	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	23.0	35.36587494754467	0.6503444361015819	0.424782528539892	0.9134864585353168	-	60	80	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	4.0	5.106181201692173	0.7833642877135681			?	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.2581695858013608	0.0			?	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	33.0	41.63820792233849	0.7925413135346736	0.5668131819541594	1.0646776104916744	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	19.0	26.955955798474168	0.7048535077756541	0.4013158967534984	1.0147789114800854	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	16.0	14.031683757073688	1.1402765539049469	0.6319885996115758	1.692006688392718	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	5.0	4.673220013994304	1.069926086301764	0.2281651685503231	2.065853735032424	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	42.0	16.5593647723154	2.536329175513861	1.7742492540883426	3.3249383619343296	+	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	2.005354837141379	0.0	0.0	0.0	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	1.513543264261683	0.6607012984777855	0.0	2.1977971457073946	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	1.0	0.1157429123705389	8.639837891745834			?	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	3.0	3.146735019422193	0.9533691211631996	0.0	2.17543183725558	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	8.0	1.579030229545796	5.066400788477101	2.4281156771108456	8.24106248547754	+	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	12.0	21.733126240878583	0.5521525006112	0.2364303075247789	0.9216821344495754	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	2.0	5.530723123909142	0.3616163664664504	0.0	0.9928233998358608	-	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	1.0	1.604710546103366	0.6231653443222189	0.0	1.6935817643547462	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	1.1499983988166405	0.8695664281176476			?	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0049370094441508	0.0			?	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	10.0	9.93749143699125	1.0062901752826745	0.4720034437160836	1.6016639641638062	0	40	60	c1[nd2H0]c[cd2]c[nd2H0]1	3	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
