atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	h_min	h_max	ligand_atom_type	interaction_types
O_pi_acc_neg	169	0.0	1.014283791811917	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.5599939826924953	0.0	0.0	0.0	-	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	0.0	0.3364766253912793	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0121138953862432	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	4.0	2.7950901710566467	1.4310808436236793	0.309264606654245	3.0711927026110755	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.2187277274464123	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.0223697201757654	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.280289962347989	0.0			?	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	8.0	1.2247503923344578	6.531943202525907	3.18906221020864	11.459041624311704	+	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	6.0	5.893881203848355	1.0180049092408507	0.361834370286691	1.829790542295228	0	0	180	0.5	1.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	1.0	1.8201852704644124	0.5493946227489548			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.2072492772434092	0.0			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	3.0	11.356362327874	0.2641690986414329	0.0	0.5692712782706677	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	4.0	7.675827435327185	0.5211164573073155	0.1121388489874141	1.0694056731524724	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	0.0	3.96166789130645	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	5.0	1.548725701782582	3.2284606591373826	0.6747995945486327	5.894780530586361	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	8.0	5.254085916725745	1.5226245110558567	0.5544267807903837	2.705027988486913	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.3212445805532473	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.3995057829557281	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0178049928377501	0.0			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	0.0	0.9266439142734604	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	0.0	0.5433113289819844	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	22.0	6.862997648606653	3.205596319046752	2.127873700431272	4.23639619515794	+	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	1.0	1.3662522936660102	0.731929237839916	0.0	2.6432955892369283	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.6593332689887796	0.0	0.0	0.0	-	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	0.2085656954213844	4.794652341937672			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi_amide_don	261	1.0	3.066889471136546	0.3260632668413101	0.0	1.173806462038708	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.1108372503299196	0.0			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.0809418713619891	0.0			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.4479904083827448	0.0			?	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	4.0	0.8523793289373247	4.692746367966086	0.966214072149552	8.825995431366518	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	5.0	7.3111983428427	0.6838824178384862	0.1930456827183433	1.314424849371635	0	0	180	1.0	1.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	0.0	1.1735588159735364	0.0			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	11.0	12.29236852083164	0.8948641574940185	0.4437725581206846	1.4399590217986733	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	10.0	8.119526582251918	1.231598899110512	0.6132795830453096	1.8687736210066177	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	1.0	4.006750557302445	0.2495788010005925	0.0	0.7117436648309693	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	3.0	1.2958598915300328	2.315065092768536	0.0	5.000820789715412	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	8.0	5.199845003540552	1.5385073967691028	0.5468902359728997	2.59177312680502	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.4804323582198052	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.4326037783201039	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0822716302610098	0.0			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	3.0	1.0631420351857497	2.821824272497933	0.0	5.802333647169661	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	1.0	0.2962003984851753	3.3760926896593944	0.0	10.68883010719074	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	7.0	5.838703988121988	1.198896195840807	0.3998239480844249	2.158486551575828	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	1.2293354242659364	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.8329254862129272	0.0	0.0	0.0	-	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	0.4169634039453982	2.3982920096530846			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi_amide_don	261	2.0	2.8790985537631166	0.6946618751157047	0.0	1.6946697937488482	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.1918203958913638	0.0			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.0460427766030262	0.0			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.5755612609074959	0.0			?	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	3.0	1.0324066967634542	2.905831596603216	0.0	5.898765437236165	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	5.0	7.514582441623327	0.6653729650106656	0.1542906037517523	1.1934323243355582	0	0	180	1.5	2.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	1.0	0.9894594255462112	1.0106528617360635			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	10.0	10.427885096008817	0.9589672218221328	0.375397751681836	1.6349351014054634	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	9.0	7.183391618197118	1.2528900661911584	0.5444591999624832	2.0489141713776404	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	0.0	3.901986221037181	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	1.0	1.210696731887379	0.8259706775957678	0.0	3.0666759257760425	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	14.0	3.765840909824268	3.717629165766672	2.282608111652932	5.34313341354039	+	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.5821635468959655	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	0.4024407284963952	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0408743852345001	0.0			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	0.0	0.6417713483966134	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	4.0	0.5379777914890513	7.435251163302725	1.761148376410415	13.868820529347992	+	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	3.0	5.906146863339052	0.5079453778269143	0.0	1.1058298265263422	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	1.3662873814759642	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.4694334191160112	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	0.2727962720481134	3.665739243766603			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi_amide_don	261	1.0	2.6659260089890067	0.3751041839226542	0.0	1.270786437582138	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.2237138157969747	0.0			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.0660561888670579	0.0			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.2040783207298785	0.0			?	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	0.0	0.9377289318818364	0.0	0.0	0.0	-	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	4.0	6.20334499474261	0.6448134036378818	0.1404053826454303	1.3107448971561986	0	0	180	2.0	2.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	2.0	2.3829558307284486	0.8392937771694314			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.1394522066230568	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	18.0	18.05515535439492	0.9969451742002602	0.6171638785598386	1.424892056163039	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	5.0	12.850827398524356	0.3890800058970633	0.0832950687176666	0.7093084386070628	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	8.0	6.360626407736431	1.257737758386438	0.4984370704178089	2.189788168280309	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	1.0	2.009229749822511	0.4977031621636782	0.0	1.636123384063608	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	19.0	8.106740335694708	2.343728701453689	1.175385256449222	3.471960012311311	+	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	0.9607199735790944	0.0	0.0	0.0	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	0.6477912562823468	1.5437071592150964	0.0	4.836267848962036	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0280543001682855	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	1.0	1.7018145142352066	0.5876081039592019	0.0	1.892547932195004	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	6.0	0.9753030882794992	6.151933765107222	2.366698012550604	10.525754496321987	+	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	4.0	9.1065610356573	0.4392437479239148	0.107275726996699	0.9097256531823924	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	1.0	2.701209768113334	0.3702044957058082	0.0	1.2906333827030614	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	1.0	0.746596559021829	1.3394114772108965	0.0	4.610442126733231	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	0.3634238600953671	2.7516079977181107			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0119090484028788	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	5.0	4.415745921929152	1.1323115252554203	0.2512726970368332	2.142673941076968	0	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.490317854751943	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.1034471266386091	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.7046432096224494	0.0			?	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	8.0	1.615828325431493	4.951021017572316	1.8579006239619096	8.929620592423824	+	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	9.0	15.521646874266796	0.5798353791259755	0.2798261262952451	0.9951551503760544	-	0	180	2.5	3.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	4.0	4.991960568286972	0.8012883806437257			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.5038976311086644	0.0			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	80.0	54.59730807142638	1.465273707182427	1.2136583889093138	1.727788682928665	+	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	51.0	36.51555017194443	1.396665249731996	1.076298863028514	1.7053928813618882	+	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	37.0	20.450792344817817	1.809220854436758	1.2838475045973214	2.334740627497835	+	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	1.0	6.413020677423721	0.1559327577907835	0.0	0.4778501148586397	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	29.0	20.92502857882247	1.3859001382368452	0.8780064034312489	1.9040420402326848	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	2.0	1.6314772953001488	1.225882827644287	0.0	3.2775528600788624	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	2.549992950769516	0.3921579468281386	0.0	1.2851713924822286	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	1.0	0.2236194797823625	4.471882328736517			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	1.0	3.4101407456648776	0.2932430285381166	0.0	0.9290612895213846	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	6.0	2.156723593676773	2.7819976642306883	0.9308714172918522	4.883853423052528	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	1.0	30.926085304665524	0.0323351626999858	0.0	0.1037261599876209	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	7.791312473445456	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	2.962457111279797	0.0	0.0	0.0	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	0.0	2.487414867774907	0.0			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	1.0	0.0224076070108953	44.62770163336796			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	13.0	14.432257501627197	0.9007599814882936	0.4605876426019507	1.2934252722413964	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	3.0	0.8124040751797486	3.692743662488688			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.3051333830773763	0.0			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	1.0	1.443099117405708	0.6929530951399393			?	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	7.0	4.741321783004426	1.4763815493586518	0.5889697646588005	2.651269486455234	0	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	17.0	35.7065946665049	0.476102528364238	0.2648066157571024	0.6994686074881427	-	0	180	3.0	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	6.0	3.847383201311871	1.5595015328741195			?	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	
metal	7	1.0	0.0357131801722578	28.000866771780903			?	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	61.0	31.482064214375683	1.937611192983512	1.582938618506801	2.323484794435252	+	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	31.0	21.727382352245016	1.4267710439033572	1.019540738793041	1.913128892324028	+	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	17.0	10.596643324590032	1.6042816087383691	0.933248155378781	2.3277541393755525	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	0.0	3.76571682322041	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	17.0	15.38706593423246	1.1048240173052848	0.567710991316432	1.6463658571981534	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	1.6193420051055727	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	1.3560060637283582	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.079121855341974	0.0			?	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	0.0	2.419238343625441	0.0	0.0	0.0	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	2.0	1.1256984920347597	1.776674672793506	0.0	4.833924586993029	0	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	1.0	16.498694284464378	0.0606108570022797	0.0	0.1990620901524448	-	0	180	3.5	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
