atom_type	size	hits	expected	rf	rf_low	rf_high	type	alpha_min	alpha_max	distance_min	distance_max	ligand_atom_type	interaction_types
O_ali_mix	99	1.0	0.643513494718837	1.5539689660073384	0.0	5.6618386728128405	0	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	1.0	0.2106514304718969	4.747178776616046	0.0	19.32674858805488	0	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	17.0	3.345052535742144	5.082132438385853	3.860643561795482	6.365916920644769	+	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	0.6976763509683135	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	0.2775950939933362	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	0.1501215151541957	6.661270364696631			?	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi_amide_don	261	0.0	1.433138599284621	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
S_mix	42	0.0	0.1957008240511648	0.0			?	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	0.0	0.5446818042468414	0.0	0.0	0.0	-	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	1.0	2.744881274558393	0.3643144821121212	0.0	1.1786668955877424	0	0	180	3.0	3.25	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	2.0	5.405920340915853	0.3699647560217594			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.6617661493146726	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	20.0	26.46839173031264	0.7556182560610668	0.4666228512762502	1.0909845240205502	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	16.0	17.512735502804357	0.9136208331038792	0.5497195678033077	1.3471322860286896	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	14.0	9.498738909064516	1.4738798627931535	0.779643845351282	2.1030340656710376	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	5.0	3.403510125644293	1.4690715806386758	0.3268436800108979	2.7943543040319576	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	8.0	11.811225031743774	0.6773217831765334	0.2490097866855595	1.1796847379816655	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	2.0	1.1123569668002014	1.7979839742930606	0.0	3.5866552547830213	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	0.0	1.1234759948998403	0.0	0.0	0.0	-	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.0708609800882809	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	5.0	1.935394886712852	2.583452108056455	0.7199960092062566	4.68192601307419	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	2.0	1.564196493842679	1.2786117395562662	0.0	2.927896090340825	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	29.0	14.776085630054654	1.9626307484990348	1.4462614257971151	2.6111540828962228	+	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	2.0	3.7391691420348265	0.534878183903608	0.0	1.2983877328712	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	1.338840233946851	0.0	0.0	0.0	-	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	0.0	0.866538297463854	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0097932153232077	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	8.0	6.939979885449811	1.1527410932087283	0.482830739438423	1.862126574154107	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	0.5470289848519058	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.2649161919398475	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	0.0	0.7996720873073363	0.0			?	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	4.0	1.897677475486921	2.107839741826333	0.4903726581958895	4.058604357988059	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	15.0	20.251725743996825	0.7406776187676952	0.428513196089207	1.0719527077109925	0	0	180	3.25	3.5	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	5.0	5.558417772414033	0.8995365596329564			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	
metal	7	0.0	0.3493095582707941	0.0			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	73.0	65.44154636343322	1.115499312846162	0.9200373812124882	1.3490824289533443	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	52.0	46.081663890707375	1.128431475984227	0.8752885818670947	1.4011791487627263	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	24.0	23.7280735207232	1.0114601161800731	0.6387743060991332	1.3644170999956216	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	3.0	8.054880722213113	0.3724449937199985	0.0	0.7585193103919096	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	46.0	27.44546124864886	1.6760512633856564	1.1455942291098384	2.220895235335421	+	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	2.330329103254549	0.0	0.0	0.0	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	2.8527597355792413	0.3505377573611028	0.0	1.1825493469327188	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	0.0	0.2204153729114699	0.0			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	1.0	4.440761703940517	0.225186593352363	0.0	0.6910862619562499	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	15.0	2.574287176091496	5.826855736730309	3.399419497878386	8.010853629614132	+	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	20.0	36.69387428003756	0.5450501042044646	0.3032960987515969	0.7788530490310276	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	1.0	9.686609814401235	0.1032352927557053	0.0	0.3520132625865044	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	0.0	3.330845804342893	0.0	0.0	0.0	-	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	1.0	2.326750104920203	0.429784014142892			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	1.0	0.0521730706175819	19.166976146176964			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	20.0	17.48448867053847	1.1438710263057443	0.6962267273370174	1.6451592091440344	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	3.0	1.0133920259924456	2.9603548508900186			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.3368803569808135	0.0			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	2.0	1.6484726871815056	1.2132442445373617			?	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	9.0	5.701642858243503	1.578492414162296	0.5624600471043263	2.63327105988553	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	35.0	44.64696415855599	0.7839278808678579	0.517794244232897	1.0372213860242894	0	0	180	3.5	3.75	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	41	6.0	5.67961045538581	1.0564104786993576			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	
metal	7	1.0	0.0831597882094549	12.025042650196452			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	
C_ali_apol	267	82.0	53.32881953984221	1.5376301352168018	1.2772218824007957	1.853365764070525	+	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hydrophobic
C_ali_weak_pol	269	40.0	34.153237987714554	1.1711920261964217	0.8410368924016416	1.508933311134861	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_ali_don	267	18.0	16.608339100535808	1.0837929001232456	0.6686860181168319	1.5556067285629258	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hbond_weak;hydrophobic
C_pi_carbonyl	263	4.0	5.3875074054048255	0.7424583762032776	0.1702756345832416	1.5389506714412269	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
C_pi_phenyl	229	51.0	21.708103043066828	2.349353137803926	1.7306942680156072	3.0461794086387672	+	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hydrophobic;pi
C_pi_don	55	0.0	2.48901687264044	0.0	0.0	0.0	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hydrophobic;hbond_weak;pi
C_pi_neg	151	1.0	1.8904132494653485	0.5289848662893273	0.0	1.8448355654978088	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;pi
C_pi_pos	21	1.0	0.184193545101771	5.429071900687277			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;pi
O_ali_mix	99	0.0	3.890618902365156	0.0	0.0	0.0	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_mix	76	1.0	1.4372165795448266	0.6957893571730885	0.0	2.275724515008191	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
O_pi_acc	264	1.0	26.24968375789244	0.0380956970462294	0.0	0.1244345332255712	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
O_pi_acc_neg	169	0.0	6.573183108502571	0.0	0.0	0.0	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;pi
N_don_pos	93	1.0	2.5628969067214147	0.3901834667549113	0.0	1.2521770598087183	0	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
N_pi_don_pos	44	2.0	1.4343097338524349	1.394398959162167			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak;pi
N_pi	7	0.0	0.0274673891869124	0.0			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
N_pi_amide_don	261	6.0	12.455287126440943	0.4817231380610075	0.1491463160249428	0.8877076018331037	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_don	47	0.0	1.0882326617239175	0.0			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;hbond_weak;pi
N_pi_arom_acc	18	0.0	0.2659740542472993	0.0			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hydrophobic;pi
S_mix	42	1.0	1.744243313501854	0.5733145096553853			?	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
S_apol	128	15.0	5.136184835733263	2.920455645529458	1.6441252426489414	4.554254786658153	+	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	hydrophobic
Water	237	3.0	29.62230064291995	0.1012750507181498	0.0	0.2352726601391664	-	0	180	3.75	4.0	carbon_aromatic_pyrimidine_5	desolvation;hbond_weak
other_ligand	131	2.0	2.248494019491805	0.8894842426363364	0.0	2.499288674528416	0	0	180	2.5	2.75	nitrogen_pyrimidine	
metal	55	0.0	1.132393986652282	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	
C_ali_apol	690	0.0	18.45124856226391	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hydrophobic
C_ali_weak_pol	717	0.0	13.858131780818564	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_ali_don	716	0.0	11.536551265840604	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_pi_carbonyl	694	0.0	3.2271947208399565	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	multipolar;desolvation;hydrophobic;pi
C_pi_phenyl	629	0.0	10.858014779290595	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
C_pi_don	223	0.0	1.481305200025961	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hydrophobic;hbond_weak;pi
C_pi_neg	436	0.0	0.9863699470113796	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
C_pi_pos	165	0.0	0.3029763585662232	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	multipolar;desolvation;pi
O_ali_mix	392	12.0	3.4247254977821733	3.50393046326519	1.8815595719655225	5.22867801268535	+	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_mix	193	9.0	1.230838763608774	7.312086900490794	3.663940677608724	12.401204155483686	+	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_acc	715	3.0	10.280502931446868	0.291814517247337	0.0	0.6589320840282894	-	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
O_pi_acc_neg	498	3.0	4.685444344817888	0.6402807885911624	0.0	1.3845777843556812	0	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
N_don_pos	303	1.0	1.731238378151224	0.5776212060801773	0.0	1.7447599728415872	0	0	180	2.5	2.75	nitrogen_pyrimidine	multipolar;desolvation;hbond_classic
N_pi_don_pos	250	0.0	3.6960107577695296	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	multipolar;desolvation;pi;hbond_classic
N_pi	14	0.0	0.008552951380957	0.0			?	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_amide_don	705	7.0	9.484384854009685	0.7380552463600876	0.2934991006872062	1.3215898111722544	0	0	180	2.5	2.75	nitrogen_pyrimidine	pi;desolvation;electrostatic_repulsion;hydrophobic;hbond_classic
N_pi_arom_don	169	0.0	0.9728147451330276	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	pi;desolvation;electrostatic_repulsion;hydrophobic;hbond_classic
N_pi_arom_acc	80	0.0	0.2176651281576813	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
S_mix	71	0.0	0.470375230892847	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hbond_weak
S_apol	300	0.0	2.396031482926447	0.0	0.0	0.0	-	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;hydrophobic
Water	680	95.0	29.318734313121613	3.2402490157115245	2.898335088847116	3.611576882018465	+	0	180	2.5	2.75	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
other_ligand	131	6.0	8.120002849705275	0.7389159968358604	0.2686541197071901	1.2010654745936709	0	0	180	2.75	3.0	nitrogen_pyrimidine	
metal	55	0.0	1.872710879566778	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	
C_ali_apol	690	1.0	82.64492730885851	0.0120999561928686	0.0	0.0381689454448095	-	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hydrophobic
C_ali_weak_pol	717	0.0	61.40600272230751	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_ali_don	716	1.0	46.35080833893037	0.0215745967726757	0.0	0.0652735843224068	-	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_pi_carbonyl	694	1.0	13.327228830418944	0.0750343535572477	0.0	0.2317407310021249	-	0	180	2.75	3.0	nitrogen_pyrimidine	multipolar;desolvation;hydrophobic;pi
C_pi_phenyl	629	0.0	45.40342851965661	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
C_pi_don	223	0.0	4.455987356666133	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hydrophobic;hbond_weak;pi
C_pi_neg	436	0.0	4.975332481423735	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
C_pi_pos	165	0.0	1.043386868574436	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	multipolar;desolvation;pi
O_ali_mix	392	12.0	11.3032239394487	1.0616440109727918	0.4973456831254481	1.6808502173707505	0	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_mix	193	8.0	3.7105561287140088	2.156011045916346	0.8244862745697614	3.611494886385613	0	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_acc	715	6.0	50.33484287051124	0.1192017230576299	0.0391134760244911	0.2221611629554348	-	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
O_pi_acc_neg	498	7.0	20.807754483131163	0.3364130428237654	0.0939011278649626	0.6541250954120074	-	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
N_don_pos	303	8.0	8.862545286259422	0.902675218190792	0.3802341227627848	1.568031074544539	0	0	180	2.75	3.0	nitrogen_pyrimidine	multipolar;desolvation;hbond_classic
N_pi_don_pos	250	5.0	13.46207181287229	0.3714138558686823	0.073471858617744	0.7029820723166584	-	0	180	2.75	3.0	nitrogen_pyrimidine	multipolar;desolvation;pi;hbond_classic
N_pi	14	0.0	0.0381628275092978	0.0			?	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
N_pi_amide_don	705	220.0	37.474893594863296	5.870597055681981	5.298787352841783	6.4610033629109305	+	0	180	2.75	3.0	nitrogen_pyrimidine	pi;desolvation;electrostatic_repulsion;hydrophobic;hbond_classic
N_pi_arom_don	169	6.0	2.52106546287071	2.379946133238391	0.8306523277837082	4.403193731996656	0	0	180	2.75	3.0	nitrogen_pyrimidine	pi;desolvation;electrostatic_repulsion;hydrophobic;hbond_classic
N_pi_arom_acc	80	0.0	0.764156718465171	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
S_mix	71	1.0	1.994203787408393	0.5014532648639534	0.0	1.6505639884479704	0	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hbond_weak
S_apol	300	0.0	8.618702869100492	0.0	0.0	0.0	-	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;hydrophobic
Water	680	254.0	106.5080040627376	2.384797295143974	2.215278893924236	2.579336331925729	+	0	180	2.75	3.0	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
other_ligand	131	7.0	6.853828170820088	1.021327034401334	0.297554607429742	1.70178557813574	0	0	180	3.0	3.25	nitrogen_pyrimidine	
metal	55	0.0	2.922713363707747	0.0	0.0	0.0	-	0	180	3.0	3.25	nitrogen_pyrimidine	
C_ali_apol	690	9.0	63.31782227881481	0.1421400748808012	0.060028688821588	0.2325019544872847	-	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;hydrophobic
C_ali_weak_pol	717	10.0	44.79044063421634	0.2232619250537311	0.0967123441277514	0.3714030376877001	-	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_ali_don	716	7.0	33.28211185871934	0.2103231919210715	0.062146512581626	0.3734972707810636	-	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;hbond_weak;hydrophobic
C_pi_carbonyl	694	1.0	8.937781956187012	0.1118845822041752	0.0	0.3526261006285552	-	0	180	3.0	3.25	nitrogen_pyrimidine	multipolar;desolvation;hydrophobic;pi
C_pi_phenyl	629	10.0	31.85148503107246	0.3139571040485108	0.127920418182065	0.5172023078194402	-	0	180	3.0	3.25	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
C_pi_don	223	0.0	3.2188786630247272	0.0	0.0	0.0	-	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;hydrophobic;hbond_weak;pi
C_pi_neg	436	1.0	3.746642765158657	0.2669056172900577	0.0	1.0432603566892529	0	0	180	3.0	3.25	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
C_pi_pos	165	3.0	0.945356253995716	3.173406837179072	0.0	7.035682340909458	0	0	180	3.0	3.25	nitrogen_pyrimidine	multipolar;desolvation;pi
O_ali_mix	392	6.0	7.465443050414986	0.8037031371723442	0.2711069694742657	1.4769029056938892	0	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_mix	193	3.0	2.5109064793548583	1.1947876293548008	0.0	2.517576731791104	0	0	180	3.0	3.25	nitrogen_pyrimidine	desolvation;electrostatic_repulsion;hbond_classic
O_pi_acc	715	20.0	36.17404040196331	0.5528826688354812	0.3347951915327388	0.7860356943453499	-	0	180	3.0	3.25	nitrogen_pyrimidine	electrostatic_repulsion;hydrophobic;desolvation;pi
O_pi_acc_neg	498	1.0	14.90963961453568	0.0670707023008847	0.0	0.2193698278559375	-	0	180	3.0	3.25	nitrogen_pyrimidine	electrostatic_repulsion;desolvation;pi
N_don_pos	303	6.0	6.419119343050258	0.9347076568214886	0.2948605822714831	1.804955350362607	0	0	180	3.0	3.25	nitrogen_pyrimidine	multipolar;desolvation;hbond_classic
N_pi_don_pos	250	14.0	10.631754749719017	1.316809908577886	0.7280861508583568	1.9679589579219696	0	0	180	3.0	3.25	nitrogen_pyrimidine	multipolar;desolvation;pi;hbond_classic
